id,total
"0,18",4.0
"0,2",4.0
"0,20",4.0
"0,4",4.0
"0,7",4.0
"0,8",4.0
"0,89",4.0
"10,11",4.0
"10,13",4.0
"10,15",4.0
"10,16",4.0
"10,18",4.0
"10,20",4.0
"10,89",4.0
"11,13",4.0
"11,15",4.0
"11,16",4.0
"11,18",4.0
"11,20",4.0
"11,89",4.0
"12,13",4.0
"12,15",4.0
"12,16",4.0
"12,18",4.0
"12,20",4.0
"13,15",4.0
"13,16",4.0
"13,18",4.0
"13,20",4.0
"13,89",4.0
"15,16",4.0
"15,18",4.0
"15,20",4.0
"16,18",4.0
"16,20",4.0
"18,20",4.0
"18,89",4.0
"2,10",4.0
"2,11",4.0
"2,12",4.0
"2,13",4.0
"2,15",4.0
"2,16",4.0
"2,20",4.0
"2,4",4.0
"2,7",4.0
"2,8",4.0
"2,89",4.0
"20,89",4.0
"3,14",2.0
"3,19",2.0
"3,21",2.0
"3,22",2.0
"4,10",4.0
"4,11",4.0
"4,12",4.0
"4,13",4.0
"4,15",4.0
"4,16",4.0
"4,18",4.0
"4,20",4.0
"4,7",4.0
"4,8",4.0
"4,89",4.0
"5,16",4.0
"5,18",4.0
"5,20",4.0
"5,7",4.0
"5,8",4.0
"7,10",4.0
"7,11",4.0
"7,12",4.0
"7,13",4.0
"7,15",4.0
"7,16",4.0
"7,18",4.0
"7,20",4.0
"7,8",12.0
"7,89",4.0
"8,10",4.0
"8,12",4.0
"8,13",4.0
"8,15",4.0
"8,16",4.0
"8,18",4.0
"8,20",4.0
"8,89",4.0
"0,10",4.0
"0,13",4.0
"0,15",4.0
"0,18",4.0
"0,2",4.0
"0,20",4.0
"0,4",4.0
"0,7",4.0
"0,8",4.0
"10,13",4.0
"10,15",12.0
"10,16",8.0
"10,18",4.0
"10,20",4.0
"11,18",4.0
"13,15",4.0
"13,18",4.0
"13,20",4.0
"15,16",8.0
"15,18",4.0
"15,20",4.0
"18,20",4.0
"2,10",8.0
"2,13",4.0
"2,15",8.0
"2,16",8.0
"2,18",4.0
"2,20",4.0
"2,4",4.0
"2,7",8.0
"2,8",4.0
"3,14",2.0
"4,10",4.0
"4,13",4.0
"4,15",4.0
"4,18",4.0
"4,20",4.0
"4,7",4.0
"4,8",4.0
"7,13",4.0
"7,18",4.0
"7,20",4.0
"7,8",4.0
"8,10",4.0
"8,13",4.0
"8,15",4.0
"8,18",4.0
"8,20",4.0
"0,4",4.0
"2,15",8.0
"2,16",8.0
"4,16",4.0
"4,8",4.0
"8,15",8.0
"0,10",16.0
"2,15",8.0
"2,8",8.0
"7,15",8.0
"10,11",4.0
"10,20",44.0
"11,20",4.0
"5,13",4.0
"5,20",4.0
"7,15",8.0
"11,20",4.0
"10,16",4.0
"11,16",4.0
"13,16",4.0
"7,15",8.0
"0,10",4.0
"0,11",4.0
"0,13",4.0
"0,15",4.0
"0,16",4.0
"0,17",16.0
"0,20",4.0
"0,21",4.0
"0,5",4.0
"0,7",4.0
"10,11",4.0
"10,13",4.0
"10,15",4.0
"10,20",4.0
"11,13",4.0
"11,16",4.0
"11,20",4.0
"11,21",4.0
"13,15",4.0
"13,16",4.0
"13,20",4.0
"13,21",4.0
"15,20",4.0
"15,21",4.0
"16,20",4.0
"16,21",4.0
"20,21",4.0
"21,89",4.0
"5,10",4.0
"5,13",4.0
"5,15",4.0
"5,16",4.0
"5,20",4.0
"5,21",4.0
"7,10",4.0
"7,11",4.0
"7,13",4.0
"7,15",4.0
"7,20",4.0
"7,21",4.0
"0,10",4.0
"0,11",4.0
"0,13",4.0
"0,15",4.0
"0,16",4.0
"0,17",4.0
"0,18",4.0
"0,19",4.0
"0,21",4.0
"0,25",4.0
"0,4",4.0
"0,5",4.0
"0,7",4.0
"0,86",4.0
"0,89",4.0
"10,11",4.0
"10,13",4.0
"10,15",4.0
"10,16",4.0
"10,17",4.0
"10,18",4.0
"10,19",4.0
"10,21",4.0
"10,89",4.0
"11,13",4.0
"11,15",4.0
"11,16",4.0
"11,17",4.0
"11,18",4.0
"11,19",4.0
"11,25",4.0
"11,89",4.0
"13,15",4.0
"13,16",4.0
"13,17",4.0
"13,18",4.0
"13,19",4.0
"13,25",4.0
"13,86",4.0
"13,89",4.0
"15,16",4.0
"15,17",4.0
"15,18",4.0
"15,19",4.0
"15,25",4.0
"15,89",4.0
"16,17",4.0
"16,18",4.0
"16,19",4.0
"16,21",4.0
"16,25",4.0
"16,89",4.0
"17,18",4.0
"17,19",4.0
"17,25",4.0
"17,86",4.0
"17,89",4.0
"18,19",4.0
"18,25",4.0
"18,86",4.0
"18,89",4.0
"19,25",4.0
"19,86",4.0
"19,89",4.0
"21,86",4.0
"25,86",4.0
"25,87",4.0
"25,89",4.0
"4,10",4.0
"4,11",4.0
"4,13",4.0
"4,15",4.0
"4,16",4.0
"4,17",4.0
"4,18",4.0
"4,19",4.0
"4,25",4.0
"4,5",4.0
"4,7",4.0
"4,86",4.0
"4,89",4.0
"5,10",4.0
"5,11",4.0
"5,13",4.0
"5,15",4.0
"5,16",4.0
"5,17",4.0
"5,18",4.0
"5,19",4.0
"5,21",4.0
"5,25",4.0
"5,7",4.0
"5,86",4.0
"5,89",4.0
"7,10",4.0
"7,11",4.0
"7,13",4.0
"7,15",4.0
"7,16",4.0
"7,17",4.0
"7,18",4.0
"7,19",4.0
"7,21",4.0
"7,25",4.0
"7,89",4.0
"86,89",4.0
"0,11",4.0
"0,13",4.0
"0,15",4.0
"0,17",20.0
"0,18",20.0
"0,19",4.0
"0,25",4.0
"0,4",4.0
"0,5",4.0
"0,7",4.0
"0,86",4.0
"10,16",4.0
"10,19",4.0
"10,89",4.0
"11,13",4.0
"11,15",20.0
"11,16",4.0
"11,17",4.0
"11,18",4.0
"11,19",4.0
"11,20",4.0
"11,25",4.0
"11,86",4.0
"11,89",4.0
"13,15",4.0
"13,16",4.0
"13,17",4.0
"13,18",4.0
"13,19",4.0
"13,20",4.0
"13,25",4.0
"13,86",4.0
"13,89",4.0
"14,25",2.0
"15,16",4.0
"15,17",4.0
"15,18",4.0
"15,19",4.0
"15,20",4.0
"15,25",4.0
"15,86",4.0
"15,89",4.0
"16,17",4.0
"16,18",4.0
"16,19",4.0
"16,20",4.0
"16,25",4.0
"16,86",4.0
"16,89",4.0
"17,18",4.0
"17,19",4.0
"17,25",4.0
"17,86",4.0
"18,19",4.0
"18,25",4.0
"18,86",4.0
"18,89",4.0
"19,25",4.0
"19,86",4.0
"19,89",4.0
"20,89",4.0
"25,86",4.0
"4,11",4.0
"4,13",4.0
"4,15",4.0
"4,16",4.0
"4,17",4.0
"4,18",4.0
"4,19",4.0
"4,20",4.0
"4,25",4.0
"4,5",4.0
"4,7",4.0
"4,86",4.0
"4,89",4.0
"5,11",4.0
"5,13",4.0
"5,15",4.0
"5,16",4.0
"5,17",4.0
"5,18",4.0
"5,19",4.0
"5,25",4.0
"5,7",4.0
"5,86",4.0
"7,11",4.0
"7,13",4.0
"7,15",12.0
"7,16",4.0
"7,17",4.0
"7,18",4.0
"7,19",4.0
"7,25",4.0
"7,86",4.0
"7,89",4.0
"86,89",4.0
"0,20",16.0
"10,17",4.0
"10,19",4.0
"10,20",4.0
"10,89",4.0
"11,18",4.0
"11,25",4.0
"11,86",4.0
"13,89",20.0
"17,19",4.0
"17,20",4.0
"17,25",4.0
"18,86",4.0
"18,89",4.0
"19,20",20.0
"25,89",4.0
"4,89",4.0
"0,11",4.0
"0,13",4.0
"0,19",4.0
"0,7",4.0
"10,17",4.0
"11,13",4.0
"11,15",4.0
"11,18",4.0
"13,15",4.0
"18,86",4.0
"5,13",4.0
"5,15",4.0
